id,name,development,group,vp,copies_2_3p,copies_4_6p,requirement_area,requirement_toads,effect_kind,effect_amount,conditional_metric,conditional_per,conditional_vp,ability,ability_cost,summary,bot_base_value,notes
barracks,Barracks,village,engine,2,2,3,,,military_strength,1,,,,,,+1 military strength,4,
fly_farm,Fly Farm,village,engine,2,2,3,fields,2,flies,2,,,,,,2+ in Fields: +2 flies each round,5,
gold_seam,Gold Seam,village,engine,2,2,3,mine,2,gold,3,,,,,,2+ in Mine: +3 gold each round,6,
lily_gardens,Lily Gardens,village,engine,2,2,3,rest,1,happiness,2,,,,,,1+ in Rest: +2 happiness each round,5,
militia_post,Militia Post,village,engine,2,2,3,military,1,gold,2,,,,,,1+ in Military: +2 gold each round,6,
tadpole_nursery,Tadpole Nursery,village,engine,2,2,3,rest,2,toads,1,,,,,,2+ in Rest: +1 toad each round,7,
austerity,Austerity,village,activated,2,2,3,,,,,,,,skip_feeding,5,Any round: skip feeding for 5 happiness,5,
larder,Larder,village,instant,2,2,3,,,flies,4,,,,,,+4 flies immediately,4,
public_park,Public Park,village,instant,2,2,3,,,happiness,3,,,,,,+3 happiness immediately,3,
tadpole_pond,Tadpole Pond,village,instant,2,2,3,,,toads,1,,,,,,+1 toad immediately,6,
monument,Monument,village,flat,5,2,3,,,,,,,,,,5 VP,6,
almshouse,Almshouse,village,conditional,0,2,2,,,,,happiness,3,1,,,1 VP per 3 happiness,4,
deep_vein,Deep Vein,city,engine,2,2,3,mine,3,gold,5,,,,,,3+ in Mine: +5 gold each round,8,
great_marsh,Great Marsh,city,engine,2,2,3,fields,3,flies,4,,,,,,3+ in Fields: +4 flies each round,7,
mercenary_camp,Mercenary Camp,city,engine,2,2,3,military,2,gold,4,,,,,,2+ in Military: +4 gold each round,8,
war_college,War College,city,engine,2,2,3,,,military_strength,2,,,,,,+2 military strength,6,
festival,Festival,city,instant,2,2,3,,,happiness,5,,,,,,+5 happiness immediately,5,
granary,Granary,city,instant,2,2,3,,,flies,8,,,,,,+8 flies immediately,6,
spawning_pool,Spawning Pool,city,instant,2,2,3,,,toads,3,,,,,,+3 toads immediately,9,
grand_monument,Grand Monument,city,flat,10,2,3,,,,,,,,,,10 VP,11,
census,Census,city,conditional,0,2,2,,,,,toads,2,1,,,1 VP per 2 toads,4,
guildhall,Guildhall,city,conditional,0,2,2,,,,,cards,2,1,,,1 VP per 2 cards,5,
hall_of_victories,Hall of Victories,city,conditional,0,2,2,,,,,war_tokens,1,2,,,2 VP per war token,3,
treasury,Treasury,city,conditional,0,2,2,,,,,gold,3,1,,,1 VP per 3 gold,4,
TOTAL,24 card types,,,,48,67,,,,,,,,,,cards in the deck at each player count,,
